onset	duration	condition
2.041	54.007	tasteless
56.048	0	rinse
71.023	44.993	MPG
116.016	0	rinse
131.016	35.968	citric_acid
166.984	0	rinse
181.984	44.936	tasteless
226.92	0	rinse
241.928	45	Sucrose
286.928	0	rinse
301.92	35.976	MPG
337.896	0	rinse
352.896	45	NaCl
397.896	0	rinse
412.896	45.001	tasteless
457.897	0	rinse
472.896	54.001	citric_acid
526.897	0	rinse
541.896	44.9680000000001	NaCl
586.864	0	rinse
601.864	53.953	Sucrose
655.817	0	rinse
670.825	35.9829999999999	tasteless
706.808	0	rinse
